iter	Accuracy	MultiClass
0	0.2051282051	3.644445979
1	0.4102564103	3.620950101
2	0.4615384615	3.603798627
3	0.5128205128	3.586634736
4	0.5897435897	3.561827118
5	0.5811965812	3.547127437
6	0.7094017094	3.532362739
7	0.7863247863	3.504568274
8	0.8290598291	3.493910296
9	0.8717948718	3.465502515
10	0.9145299145	3.435629453
11	0.8888888889	3.418781512
12	0.8974358974	3.398273027
13	0.905982906	3.385978026
14	0.9401709402	3.364692855
15	0.9572649573	3.34241567
16	0.9572649573	3.321530248
17	0.9658119658	3.292530583
18	0.9572649573	3.280696098
19	0.9572649573	3.25984017
20	0.9572649573	3.246345197
21	0.9658119658	3.226087668
22	0.9572649573	3.207123891
23	0.9743589744	3.180573786
24	0.9658119658	3.158223624
25	0.9743589744	3.14048964
26	0.9829059829	3.12516223
27	0.9829059829	3.097794678
28	0.9829059829	3.079268215
29	0.9743589744	3.068502522
30	0.9829059829	3.050535163
31	0.9743589744	3.027740057
32	0.9658119658	3.018408459
33	0.9743589744	3.00317052
34	0.9743589744	2.98226607
35	0.9743589744	2.958608795
36	0.9743589744	2.935544366
37	0.9829059829	2.910274588
38	0.9829059829	2.884958191
39	0.9743589744	2.869755063
40	0.9743589744	2.852995902
41	0.9743589744	2.83470915
42	0.9829059829	2.813706908
43	0.9829059829	2.796016169
44	0.9829059829	2.772832595
45	0.9829059829	2.751377664
46	0.9829059829	2.726674509
47	0.9829059829	2.69935565
48	0.9829059829	2.686770778
49	0.9829059829	2.657533744
50	0.9829059829	2.637059764
51	0.9829059829	2.618090009
52	0.9829059829	2.59574456
53	0.9914529915	2.574954399
54	0.9829059829	2.554987316
55	0.9829059829	2.540463455
56	0.9829059829	2.518239867
57	0.9914529915	2.495018104
58	0.9914529915	2.486625853
59	0.9914529915	2.473828348
60	0.9914529915	2.454203403
61	0.9914529915	2.43633963
62	0.9914529915	2.417582255
63	0.9914529915	2.396799158
64	0.9914529915	2.387620456
65	0.9914529915	2.377978117
66	0.9914529915	2.367898368
67	0.9914529915	2.352572673
68	0.9914529915	2.344238285
69	0.9914529915	2.331237978
70	0.9914529915	2.313759689
71	0.9914529915	2.296138785
72	0.9914529915	2.282725278
73	0.9914529915	2.260309344
74	0.9914529915	2.247605813
75	0.9914529915	2.229806525
76	0.9914529915	2.214835659
77	0.9914529915	2.201616352
78	0.9914529915	2.182563179
79	0.9914529915	2.171210989
80	0.9914529915	2.160738715
81	0.9914529915	2.149911556
82	0.9914529915	2.141275818
83	0.9914529915	2.121702539
84	0.9914529915	2.106700938
85	0.9914529915	2.096644728
86	0.9914529915	2.08994059
87	0.9914529915	2.07752003
88	0.9914529915	2.065127688
89	0.9914529915	2.056950075
90	0.9914529915	2.047200326
91	0.9914529915	2.037351832
92	0.9914529915	2.023925103
93	0.9914529915	2.006822159
94	0.9914529915	1.994269377
95	0.9914529915	1.987143795
96	0.9914529915	1.976085521
97	0.9914529915	1.960262651
98	0.9914529915	1.948258487
99	0.9914529915	1.934762323
100	0.9914529915	1.923916894
101	0.9914529915	1.910363552
102	0.9914529915	1.897161109
103	0.9914529915	1.876963899
104	0.9914529915	1.863595885
105	0.9914529915	1.848872495
106	0.9914529915	1.834205261
107	0.9914529915	1.823339041
108	0.9914529915	1.814645567
109	0.9914529915	1.803997285
110	0.9914529915	1.792976994
111	0.9914529915	1.783496499
112	0.9914529915	1.769260411
