iter	Passed	Remaining
0	427	85027
1	713	70608
2	1024	67250
3	1332	65315
4	1620	63186
5	1898	61400
6	2181	60151
7	2473	59353
8	2769	58783
9	3115	59200
10	3455	59373
11	3801	59561
12	4158	59821
13	4525	60119
14	4884	60247
15	5228	60130
16	5583	60104
17	5955	60220
18	6336	60360
19	6721	60491
20	7076	60321
21	7422	60053
22	7785	59916
23	8152	59784
24	8493	59456
25	8826	59071
26	9172	58773
27	9527	58525
28	9899	58370
29	10227	57953
30	10547	57502
31	10816	56785
32	11110	56227
33	11387	55597
34	11669	55012
35	11940	54397
36	12219	53830
37	12501	53294
38	12797	52828
39	13099	52397
40	13383	51903
41	13660	51387
42	13933	50871
43	14212	50390
44	14501	49950
45	14792	49521
46	15072	49065
47	15346	48598
48	15620	48137
49	15900	47702
50	16193	47310
51	16486	46923
52	16771	46516
53	17048	46093
54	17330	45689
55	17676	45452
56	18051	45287
57	18417	45091
58	18766	44848
59	19119	44612
60	19483	44395
61	19793	44057
62	20081	43670
63	20355	43254
64	20629	42846
65	20905	42445
66	21194	42071
67	21490	41717
68	21780	41351
69	22054	40959
70	22336	40582
71	22613	40201
72	22910	39858
73	23204	39510
74	23484	39140
75	23767	38777
76	24041	38404
77	24323	38045
78	24613	37698
79	24951	37426
80	25304	37176
81	25719	37010
82	26122	36823
83	26528	36634
84	26930	36434
85	27304	36194
86	27645	35906
87	28012	35652
88	28377	35391
89	28723	35106
90	29073	34824
91	29425	34542
92	29797	34283
93	30164	34015
94	30513	33725
95	30862	33434
96	31208	33138
97	31570	32858
98	31933	32578
99	32290	32290
100	32641	31995
101	32987	31693
102	33350	31408
103	33720	31126
104	34082	30836
105	34443	30543
106	34790	30238
107	35155	29947
108	35529	29662
109	35887	29362
110	36237	29055
111	36592	28751
112	36975	28467
